#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           PSP FIELDS Fluxgate Magnetometer (MAG) data
#     PROJECT                         PSP
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#                                     Space Physics>Interplanetary Studies
#     SOURCE_NAME                     PSP_FLD>Parker Solar Probe FIELDS
#     DESCRIPTOR                      MAG_RTN_1min>Fluxgate Magnetometer data in RTN coordinates
#     DATA_TYPE                       L2>Level 2 Data
#     DATA_VERSION                    01
#     TEXT                            PSP FIELDS Fluxgate Magnetometer data. Time resolution varies with instrument                         
#                                      mode, ranging from 2.3-292.9 samples/sec, corresponding to 2-256 samples per                          
#                                      0.874 seconds (0.874 = 2^25 / 38.4 MHz, see reference [2]).                                           
#                                     The Magnetometer has 4 ranges - +/-1024, +/-4096, +/-16,384, +/-65,536 nT, selected                   
#                                      by the ranging algorithm, based on the ambient magnetic field. Precision is                           
#                                      +/- 15 bits, based on the 16-bit ADC.                                                                 
#                                     References:
#                                     1. Fox, N.J., Velli, M.C., Bale, S.D. et al. Space Sci Rev (2016) 204: 7. https://doi.org/10.1007/s112
#                                     2. Bale, S.D., Goetz, K., Harvey, P.R. et al. Space Sci Rev (2016) 204: 49.                           
#                                      https://doi.org/10.1007/s11214-016-0244-5                                                             
#     MODS                            Version 1
#     LOGICAL_FILE_ID                 psp_fld_l2_mag_RTN_1min_20190220_v01
#     LOGICAL_SOURCE                  psp_fld_l2_mag_RTN_1min
#     LOGICAL_SOURCE_DESCRIPTION      PSP FIELDS 1 minute cadence Fluxgate Magnetometer (MAG) data in RTN coordinates
#     PI_NAME                         Stuart D. Bale (bale@berkeley.edu)
#     PI_AFFILIATION                  UC Berkeley Space Sciences Laboratory
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   Parker Solar Probe (PSP)
#     PARENTS                         spp_fld_l1_mago_hk_20190220_v00.cdf
#                                     spp_fld_l1_mago_hk_20190221_v00.cdf, spp_fld_l1_mago_survey_20190220_v00.cdf
#                                     spp_fld_l1_mago_survey_20190221_v00.cdf
#     MAG_OFFSET_CALIBRATION_FILES    psp_mago_zeros_range0_2019_v03.dat
#     DEPENDENCIES                    None
#     FILE_NAMING_CONVENTION          source_datatype_descriptor_yyyyMMdd
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ParkerSolarProbe/FIELDS/MAG/Level2/RTN/PT1M
#     GENERATED_BY                    PSP FIELDS SOC
#     RULES_OF_USE                    PSP/FIELDS Rules of the Road available at http://fields.ssl.berkeley.edu/rules/
#     GENERATION_DATE                 Tue Nov  5 21:37:36 2019
#     HTTP_LINK                       http://fields.ssl.berkeley.edu/data/
#     LINK_TEXT                       PSP/FIELDS SOC
#     LINK_TITLE                      Data Link
#     TIME_RESOLUTION                 1 minute
#     SVN_VERSION                     25679
#     CDAWEB_PARENTS                  psp_fld_l2_mag_rtn_1min_00000000_v01
#                                     psp_fld_l2_mag_rtn_1min_20210926_v02, psp_fld_l2_mag_rtn_1min_20210927_v02
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time in TT2000 for 1 minute cadence MAG waveform data
#  2. Magnetic field in RTN coordinates (1 minute cadence)
#
#  
# Key Parameter and Survey data (labels K0,K1,K2) are preliminary browse data.
# Generated by CDAWeb on: Tue Apr  9 14:40:37 2024
EPOCH                                               B_R                         B_T                         B_N
                                                 (@_1_)                      (@_2_)                      (@_3_)
dd-mm-yyyy hh:mm:ss.mil.mic                          nT                          nT                          nT
26-09-2021 00:00:30.000.000                    -6.09061                   -0.157483                    -6.03628
26-09-2021 00:01:30.000.000                    -5.91213                   -0.461979                    -5.92760
26-09-2021 00:02:30.000.000                    -5.94578                   -0.499694                    -5.70025
26-09-2021 00:03:30.000.000                    -6.05616                   -0.454259                    -5.74895
26-09-2021 00:04:30.000.000                    -6.57150                   -0.169681                    -5.47145
26-09-2021 00:05:30.000.000                    -6.55398                   -0.216811                    -5.46323
26-09-2021 00:06:30.000.000                    -6.40771                   -0.282341                    -5.65754
26-09-2021 00:07:30.000.000                    -6.26088                   -0.407608                    -5.72764
26-09-2021 00:08:30.000.000                    -5.88340                   -0.678164                    -5.81789
26-09-2021 00:09:30.000.000                    -5.93004                   -0.509404                    -5.69085
26-09-2021 00:10:30.000.000                    -6.36228                   -0.131407                    -5.43557
26-09-2021 00:11:30.000.000                    -6.30312                   -0.686183                    -5.37112
26-09-2021 00:12:30.000.000                    -6.20509                   -0.549016                    -5.28720
26-09-2021 00:13:30.000.000                    -5.92782                    -1.04795                    -5.52751
26-09-2021 00:14:30.000.000                    -4.65756                    -2.64698                    -5.51640
26-09-2021 00:15:30.000.000                    -4.32986                    -2.50747                    -4.98573
26-09-2021 00:16:30.000.000                    -4.83831                    -1.34189                    -4.97412
26-09-2021 00:17:30.000.000                    -4.78647                    -1.54182                    -5.08720
26-09-2021 00:18:30.000.000                    -4.61071                    -2.25893                    -4.83769
26-09-2021 00:19:30.000.000                    -4.10766                    -3.01409                    -4.71829
26-09-2021 00:20:30.000.000                    -4.20190                    -2.05370                    -4.92879
26-09-2021 00:21:30.000.000                    -4.16736                    -2.37891                    -4.76491
26-09-2021 00:22:30.000.000                    -3.81618                    -2.68299                    -4.57347
26-09-2021 00:23:30.000.000                    -3.89467                    -2.26916                    -4.79416
26-09-2021 00:24:30.000.000                    -3.47139                    -2.22996                    -5.16374
26-09-2021 00:25:30.000.000                    -3.42977                    -2.76195                    -5.00041
26-09-2021 00:26:30.000.000                    -2.86846                    -3.61125                    -4.83826
26-09-2021 00:27:30.000.000                    -3.22330                    -3.68926                    -4.81306
26-09-2021 00:28:30.000.000                    -3.26530                    -3.13419                    -5.13292
26-09-2021 00:29:30.000.000                    -3.77117                    -2.33984                    -5.12168
26-09-2021 00:30:30.000.000                    -3.86264                    -2.02010                    -5.10157
26-09-2021 00:31:30.000.000                    -4.03468                    -1.44828                    -5.29798
26-09-2021 00:32:30.000.000                    -4.23880                    -1.36741                    -5.08534
26-09-2021 00:33:30.000.000                    -4.04623                   -0.823201                    -5.35223
26-09-2021 00:34:30.000.000                    -4.12759                    -1.18627                    -5.34250
26-09-2021 00:35:30.000.000                    -3.74574                   -0.568096                    -5.39942
26-09-2021 00:36:30.000.000                    -3.81330                   -0.537797                    -5.39265
26-09-2021 00:37:30.000.000                    -4.16641                   -0.804191                    -5.25984
26-09-2021 00:38:30.000.000                    -4.11162                   -0.705682                    -5.37797
26-09-2021 00:39:30.000.000                    -4.09686                   -0.782934                    -5.33203
26-09-2021 00:40:30.000.000                    -4.08774                   -0.812956                    -5.19262
26-09-2021 00:41:30.000.000                    -3.90894                   -0.970916                    -5.35532
26-09-2021 00:42:30.000.000                    -4.24670                   -0.940250                    -5.19019
26-09-2021 00:43:30.000.000                    -4.08580                   -0.973049                    -5.30518
26-09-2021 00:44:30.000.000                    -3.72278                    -1.46869                    -5.47513
26-09-2021 00:45:30.000.000                    -3.60518                    -1.47087                    -5.50182
26-09-2021 00:46:30.000.000                    -3.88625                    -1.80123                    -5.37385
26-09-2021 00:47:30.000.000                    -4.28073                    -1.44754                    -4.95120
26-09-2021 00:48:30.000.000                    -4.82183                   -0.497987                    -4.76641
26-09-2021 00:49:30.000.000                    -4.63246                    -1.03960                    -5.02802
26-09-2021 00:50:30.000.000                    -3.88567                    -1.58663                    -5.16333
26-09-2021 00:51:30.000.000                    -3.84699                    -1.67023                    -5.28618
26-09-2021 00:52:30.000.000                    -4.41892                    -1.43999                    -5.03147
26-09-2021 00:53:30.000.000                    -4.15330                    -1.19169                    -5.33104
26-09-2021 00:54:30.000.000                    -4.18859                    -1.32528                    -5.19080
26-09-2021 00:55:30.000.000                    -3.95421                    -1.85004                    -5.01712
26-09-2021 00:56:30.000.000                    -4.13476                    -1.59280                    -5.02442
26-09-2021 00:57:30.000.000                    -4.29383                   -0.668985                    -5.21268
26-09-2021 00:58:30.000.000                    -4.18105                    -1.50691                    -5.33879
26-09-2021 00:59:30.000.000                    -3.88913                    -2.26401                    -5.27802
26-09-2021 01:00:30.000.000                    -3.83902                    -2.28818                    -5.25390
