#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         Solar Orbiter
#     SOURCE_NAME                     SOLO>Solar Orbiter
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     DATA_TYPE                       L2>Level 2 Calibrated Data
#     DESCRIPTOR                      MAG>Magnetometer
#     DATA_VERSION                    01
#     SOFTWARE_VERSION                2.22
#     SKELETON_VERSION                11
#     PI_NAME                         T. Horbury
#     PI_AFFILIATION                  The Blackett Laboratory, Imperial College London
#     TEXT                            Dual-sensor, triaxial fluxgate magnetometer
#                                     doi:10.1051/0004-6361/201937257
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   Solar Orbiter
#     LOGICAL_SOURCE                  solo_L2_mag-rtn
#     LOGICAL_FILE_ID                 solo_L2_mag-rtn-normal-1-minute
#     LOGICAL_SOURCE_DESCRIPTION      Solar Orbiter Magnetometer L2 Data
#     RULES_OF_USE                    Publication quality. Take note of Quality Flag and refer to SOL-MAG-DPDD for                          
#                                      exceptions                                                                                            
#     GENERATED_BY                    The Blackett Laboratory, Imperial College London
#     GENERATION_DATE                 2023-03-17T12:57:18
#     MODS                            V01 2019/12/11 I. Carrasco: Initial release
#                                     V02 2019/12/18 I. Carrasco: Second release
#                                     V03 2020/03/17 H. O'Brien: Third release
#                                     V04 2020/03/27 V. Evans: Fourth release
#                                     V05 2020/03/30 V. Evans: Fifth release
#                                     V06 2020/03/31 V. Evans: Sixth release
#                                     V07 2020/05/01 V. Angelini: Seventh release
#                                     V08 2020/06/18 V. Angelini: Eighth release
#                                     V07 2020/07/27 V. Angelini: Ninth release
#                                     V10 2020/08/18 V. Angelini: Tenth release
#                                     V11 2020/09/11 V. Angelini: Eleventh release
#     LEVEL                           L2>Level 2 Calibrated Data
#     PARENTS                         Time-conversion (OBT to UTC): solo_ANC_soc-flown-mk_V107_20221011_001.tm
#                                     L1 filename: solo_L1_mag-obs-burst_20220906_V01.cdf, MAG Heater Cleaning: HeaterProfile_2022-09-06_V001.mat
#                                     Spacecraft Heater Cleaning: LCLProfile-20220117T111248.mat, L2 attitude transformation: solo_ANC_soc-flown-mk_V107_20221003_001.tm
#                                     solo_L2_mag-rtn-normal-1-minute-internal_20220906_V02.cdf
#     INSTRUMENT_NAME                 MAG
#     ACKNOWLEDGEMENT                 Solar Orbiter magnetometer data was provided by Imperial College Londonand supported                  
#                                      by the UK Space Agency                                                                                
#     LINK_TEXT                       Solar Orbiter MAG
#     LINK_TITLE                      Homepage
#                                     https://www.imperial.ac.uk/space-and-atmospheric-physics/research/missions-and-projects/space-missions
#     SOOP_TYPE                       NA
#     OBS_ID                          NA
#     DATA_PRODUCT                    RTN > Data in RTN coordinates
#     CDAWEB_PARENTS                  solo_l2_mag-rtn-normal-1-minute_00000000_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20220906_v01, solo_l2_mag-rtn-normal-1-minute_20220907_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20220908_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch encoded as Terrestrial Time on rotating Earth geoid, ns since J2000
#  2. Magnetic field vector in RTN coordinates
#
#  
# Key Parameter and Survey data (labels K0,K1,K2) are preliminary browse data.
# Generated by CDAWeb on: Fri Apr  5 15:43:33 2024
EPOCH                                                 B_R                         B_T                         B_N
dd-mm-yyyy hh:mm:ss.mil.mic                            nT                          nT                          nT
06-09-2022 00:00:29.999.998.2                     15.7044                     1.68270                   -0.284101
06-09-2022 00:01:30.000.004.6                     15.6273                     1.10899                    0.496108
06-09-2022 00:02:30.000.001.1                     15.9607                   -0.747740                     1.15883
06-09-2022 00:03:29.999.997.5                     15.7183                   -0.659236                    0.879173
06-09-2022 00:04:30.000.004.0                     16.0908                   -0.761544                    0.530397
06-09-2022 00:05:30.000.000.4                     15.8704                   -0.895297                    0.793936
06-09-2022 00:06:29.999.996.8                     15.2866                    -2.22640                     1.44355
06-09-2022 00:07:30.000.003.3                     15.2412                   -0.369334                    0.610353
06-09-2022 00:08:29.999.999.7                     14.8428                    -1.63238                     1.07906
06-09-2022 00:09:29.999.996.2                     15.4965                     1.75297                    0.338699
06-09-2022 00:10:30.000.002.6                     15.1205                    0.469054                     1.46829
06-09-2022 00:11:29.999.999.1                     15.0690                   -0.747816                     1.99728
06-09-2022 00:12:29.999.995.5                     15.1356                    -1.83292                    0.676815
06-09-2022 00:13:30.000.002.0                     13.5261                   -0.885012                     4.29344
06-09-2022 00:14:29.999.998.4                     13.0265                    -2.02141                     4.22155
06-09-2022 00:15:30.000.004.9                     13.6076                    -6.47613                    0.966349
06-09-2022 00:16:30.000.001.3                     13.1631                    -5.87371                    0.116776
06-09-2022 00:17:29.999.997.7                     12.9458                    -4.67101                     1.73178
06-09-2022 00:18:30.000.004.2                     12.5794                   -0.977113                     3.69053
06-09-2022 00:19:30.000.000.6                     12.4530                    -2.41916                     1.54572
06-09-2022 00:20:29.999.997.0                     12.7514                    -1.94504                     2.21278
06-09-2022 00:21:30.000.003.5                     12.5935                    -1.80863                     2.18300
06-09-2022 00:22:30.000.000.0                     13.2939                   -0.965371                     1.60234
06-09-2022 00:23:29.999.996.4                     12.8339                    -1.30961                     1.25709
06-09-2022 00:24:30.000.002.9                     12.9195                    -1.02529                    0.605336
06-09-2022 00:25:29.999.999.3                     12.5858                   -0.766610                    0.423799
06-09-2022 00:26:29.999.995.7                     12.1991                    -2.11629                    0.672539
06-09-2022 00:27:30.000.002.2                     12.5529                   -0.209066                   -0.292836
06-09-2022 00:28:29.999.998.6                     12.7075                    0.902895                   -0.908539
06-09-2022 00:29:29.999.995.0                     12.8898                   -0.694160                   -0.778433
06-09-2022 00:30:30.000.001.5                     12.7216                   -0.864732                    -1.60746
06-09-2022 00:31:29.999.997.9                     12.7044                    -1.74161                    0.146790
06-09-2022 00:32:30.000.004.4                     12.2890                    -3.40110                   -0.241852
06-09-2022 00:33:30.000.000.8                     12.4154                    -1.03229                    0.104147
06-09-2022 00:34:29.999.997.3                     12.1110                    -2.69569                  -0.0854173
06-09-2022 00:35:30.000.003.7                     12.1808                    -2.50867                     1.14430
06-09-2022 00:36:30.000.000.2                     12.1987                    -1.67962                   -0.102682
06-09-2022 00:37:29.999.996.6                     11.7619                    -3.34688                   0.0854101
06-09-2022 00:38:30.000.003.1                     11.9935                    -3.32159                   0.0874311
06-09-2022 00:39:29.999.999.5                     12.0439                    -3.33685                   -0.240794
06-09-2022 00:40:29.999.995.9                     12.0772                    -3.07617                   -0.138898
06-09-2022 00:41:30.000.002.4                     11.9305                    -3.68291                  -0.0131808
06-09-2022 00:42:29.999.998.8                     12.3928                    -2.22564                   -0.615100
06-09-2022 00:43:29.999.995.3                     11.7306                    -4.18684                   -0.581937
